Segal's Nerve functor,,,??,,,
Set,,Set (mathematics): Q36161,Set (category theory): Q2518298,,,
Set-valued presheaf,,,??,,,
Span construction,,,simply span?,,https://ncatlab.org/nlab/show/span,
Split Short Five Lemma,,,Five lemma instead?,,https://ncatlab.org/nlab/show/five+lemma,
Tannaka-Krein reconstruction theorem,,Tannaka-Krein reconstruction theorem: Q7683608,,,,
V-n-category,,,remove?,,no nLab,
Whitehead Theorem,,,,,https://ncatlab.org/nlab/show/Whitehead+theorem,
Witt group,,Witt group: Q3117708,,,,
abelian group,,Abelian group: Q181296,,,,
absolute homology,,,absolute cohomology?,,https://ncatlab.org/nlab/show/absolute+cohomology,
abstract core algebra,,,remove?,,,
accessible category,,Accessible category: Q4672496,,,,
acyclic models method,,,?? tried acyclic models nothing,,,
additive,,Additive: Q404330,,,,
additive category,,Additive category: Q4681343,,,,
adhesive,,Adhesive: Q131790,,,,
adhesive category,,Adhesive category: Q17001823,,,,
adjoint functor,,Adjoint functor: Q357858,,,,
adjunction,,Adjunction (category theory): Q357858,Adjunction (set theory): Q18205396,,Adjunction (field theory): Q577835,
affine arithmetic variety,,,arithmetic variety?,,https://ncatlab.org/nlab/show/arithmetic+variety,
affine logic,,Affine logic: Q4688943,,,,
algebra,,Algebra (mathematics): Q3968,Algebra (ring theory): Q1000660,,,
algebraic category,,Algebraic category: Q3502010,,,,
algebraic geometry,,Algebraic geometry: Q180969,,,,
algebraic superscheme,,,superscheme only?,,https://ncatlab.org/nlab/show/super-scheme,
algebraic theory,,Algebraic theory: Q4724020,,,,
analytic,,Analytic: Q1180238,,,,
analytic function,,Analytic function: Q215084,,,,
associative,,Associative: Q177251,,,,
attractive fixpoint,,,fixpoint or fix point,,https://ncatlab.org/nlab/show/fixpoint,
automorphism,,Automorphism: Q782566,,,,
axiomatizable class,,Axiomatizable class: Q1327762,,,,
axiomatization,,Axiomatization: Q792542,,,,
balanced category,,Balanced category: Q1948412,,,,
basal graph,,,remove?,,,
base category,,,remove? in many pages of nLAb,,no nLab,
base monoidal category,,,remove?,,,
bialgebra,,Bialgebra: Q494141,,,,
bialgebroid,,Bialgebroid: Q38545926,,,,
bicategorical,,,remove? bicategory,,,
bicategorical localization,,,category of fractions?,,https://ncatlab.org/nlab/show/bicategory+of+fractions,
bicategory,,Bicategory: Q4903541,,,,
bicomplete category,,Bicomplete category: Q4370335,,,,
biequivalence,,,??,,,
bigroup,,,bigroupoid instead?,,https://ncatlab.org/nlab/show/bigroupoid,
braid group,,Braid group: Q220409,,,,
braided monoidal bicategory,,,braided monoidal 2-category?,,https://ncatlab.org/nlab/show/braided+monoidal+2-category,
braided monoidal category,,Braided monoidal category: Q2943034,,,,
branched cover,,Branched cover: Q4956410,,,,
branching,,Branching: Q5876926,,,,
bundle,,Bundle (mathematics): Q1047307,,,,
canonical triangulation,,,triangulation instead?,,https://ncatlab.org/nlab/show/triangulation,
cartesian bicategory,,,,,https://ncatlab.org/nlab/show/cartesian+bicategory,
cartesian closed,,Cartesian closed: Q1725874,,,,
cartesian differential category,,,,,https://ncatlab.org/nlab/show/cartesian+differential+category,
cartesian monoidal category,,Cartesian monoidal category: Q18205845,,,,
categorical group,,,??,,,
categorical model,,Categorical model: Q15830473,,,,
categorical polynomial monad,,,polynomial monad?,,https://ncatlab.org/nlab/show/polynomial+monad,
categorical property,,,remove,,,
categorical topology,,Categorical topology: Q2000555,,,,
category,,Category (mathematics): Q719395,Category (category theory): Q719395,Category (topology): Q1150180,,
category theory,,Category theory: Q217413,,,,
central extension,,Central extension (mathematics): Q3041173,,,,
centrality,,Centrality: Q5062194,,,,
centre,,Centre (group theory): Q1195852,,,,
chain complex,,Chain complex: Q1143328,,,,
chain homotopy,,Chain homotopy: Q1430845,,,,
circuit,,Circuit: Q474704,,,,
class,,Class (mathematics): Q217594,Class (set theory): Q217594,,,
classical logic,,Classical logic: Q236975,,,,
clone,,Clone (mathematics): Q838048,,,,
closed monoidal,,,closed monoidal category?,,https://ncatlab.org/nlab/show/closed+monoidal+category,
co-smash product,,,smash product instead?,,https://ncatlab.org/nlab/show/smash+product,
coKleisli category,,,Kleisli category  instead?,,https://ncatlab.org/nlab/show/Kleisli+category+of+a+comonad,
coalgebra,,Coalgebra (category theory): Q3062935,,,,
cobordism,,Cobordism: Q2546666,,,,
cochain complex,,Cochain complex: Q1143328,,,,
codescent morphism,,,descent morphism instead?,,https://ncatlab.org/nlab/show/descent+morphism,
coequalizing,,,remove?,,no nLab,
coherence condition,,Coherence condition: Q5141339,,,,
coherence requirement,,,remove?,,,
coherent category,,,,,https://ncatlab.org/nlab/show/coherent+category,
coherent unit action,,,remove?,,no nLab,
cohomological descent,,Cohomological descent: Q19596425,,,,
combinatorial,,Combinatorial: Q76592,,,,
commutative ring,,Commutative ring: Q858656,,,,
commutative square,,Commutative square: Q621542,,,,
compact Hausdorff space,,Compact Hausdorff space: Q381892,,,,
compact closed bicategory,,,compact closed 2-category?,,https://ncatlab.org/nlab/show/compact+closed+2-category,
compactification,,Compactification (mathematics): Q546145,Compactification (topology): Q546145,,,
compatibility,,Compatibility: Q296074,,,,
compatible structure,,,remove?,,,
complete category,,Complete category: Q4370335,,,,
completeness,,Completeness (topology): Q848569,Completeness (order theory): Q5156540,,,
completion,,Completion (topology): Q848569,Completion (order theory): Q851333,Completion (ring theory): Q3685258,,
complex base field,,,remove?,,,
complex supermanifold,,,supermanifoldor complex supermanifold?,,https://ncatlab.org/nlab/show/complex+supermanifold,
complicial identity,,,??,,,
complicial set,,,,,https://ncatlab.org/nlab/show/complicial+set,
composition,,Composition (mathematics): Q244761,,,,
composition-representative,,,remove?,,,
compository,,,??,,,
comprehension,,Comprehension: Q16769650,,,,
computable invariant,,,invariant instead?,,https://ncatlab.org/nlab/show/invariant,
concrete category,,Concrete category: Q1575634,,,,
confluent presentation,,,canonical presentation instead?,,https://ncatlab.org/nlab/show/canonical+presentation,
congruence lattice,,Congruence lattice: Q2589508,,,,
connection,,Connection (mathematics): Q31924,Connection (differential geometry): Q31924,,,
constant cosheaf,,,cosheaf instead?,,https://ncatlab.org/nlab/show/cosheaf,
convergence,,Convergence (mathematics): Q1211057,,,,
coproduct preservation,,,??,,,
coreflector,,,??,,,
corelation,,Corelation: Q186290,,,,
cospan,,Cospan: Q7573053,,,,
covering,,Covering (graph theory): Q5179248,,,,
critical branching,,,??,,,
crossed complex,,,,,https://ncatlab.org/nlab/show/crossed+complex,
cut-elimination,,Cut-elimination: Q376166,,,,
cyclic double multicategory,,,??,,,
cyclic spectrum,,,??,,,
data-specification,,,remove?,,,
database,,Database: Q8513,,,,
decidable,,Decidable: Q1173442,,,,
decomposable functor,,,??,,,
decorated bicategory,,,??,,,
definable,,Definable: Q5251571,,,,
deformation,,Deformation: Q1219573,,,,
degree,,Degree (mathematics): Q383185,Degree (algebraic geometry): Q5251838,Degree (field theory): Q577835,,Degree (graph theory): Q383444
delocalization,,Delocalization: Q899089,,,https://ncatlab.org/nlab/show/right+Bousfield+delocalization,
derivator,,Derivator: Q5262625,,,,
descent theory,,Descent theory: Q5263725,,,,
diagram,,Diagram (category theory): Q843237,,,,
differentiable stack,,Differentiable stack: Q16960732,,,,
differential category,,,,,https://ncatlab.org/nlab/show/differential+category,
differential geometry,,Differential geometry: Q188444,,,,
differential graded category,,Differential graded category: Q5275347,,,,
differential linear logic,,,,,https://ncatlab.org/nlab/show/differential+linear+logic,
differentiation,,,,,https://ncatlab.org/nlab/show/differentiation,
dimension,,Dimension (mathematics): Q4440864,Dimension (linear algebra): Q929302,Dimension (topology): Q4440864,Dimension (graph theory): Q13415176,
directed complex,,,?? parity complex,,,
directed graph,,Directed graph: Q1137726,,,https://ncatlab.org/nlab/show/discrete+fibration,
discrete fibration,,,,,,
distribution,,Distribution (mathematics): Q865811,Distribution (differential geometry): Q564835,Distribution (probability): Q200726,,
distributive,,Distributive: Q18230076,,,,
distributive law,,Distributive law: Q187959,,,,
distributor,,Distributor (category theory): Q7248328,,,,
double category,,,,,https://ncatlab.org/nlab/show/double+category,
double-dualization structure,,,,,https://ncatlab.org/nlab/show/dualizing+object,
dual construction,,,??,,,
dual equivalence,,,,,https://ncatlab.org/nlab/show/dual+equivalence,
duality theory,,Duality theory: Q1755512,,,,
dualizing object,,Dualizing object: Q4544973,,,,
effective,,Effective: Q1296024,,,,
effective category,,,??,,,
effective topos,,Effective topos: Q5347283,,,,
enchilada category,,,??,,,
enlargement,,Enlargement: Q5379054,,,,
enriched,,Enriched: Q1343694,,,,
enriched category,,Enriched category: Q5379515,,,,
enriched factorization system,,,,,https://ncatlab.org/nlab/show/enriched+factorization+system,
enriched functor,,Enriched functor: Q5379515,,,,
enriched locally presentable category,,,locally presentable category instead?,,https://ncatlab.org/nlab/show/locally+presentable+category,
enriched orthogonality,,,enriched factorization system instead?,,https://ncatlab.org/nlab/show/enriched+factorization+system,
enrichment,,Enrichment: Q1343694,,,,
entropic category,,,??,,,
entwining operator,,,??,,,
equality,,Equality (mathematics): Q842346,,,,
equational characterization,,,??,,,
equational hull,,,??,,https://ncatlab.org/nlab/show/distributivity+of+limits+over+colimits,
equational subcategory,,,??,,,
equivalence,,Equivalence (mathematics): Q235935,Equivalence (category theory): Q1082992,,,
equivalent,,Equivalent: Q235935,,,,
equivalent bicategory,,,remove,,,
eventually cyclic Boolean flow,,,remove,,,
eventually cyclic spectrum,,,remove,,,
exact category,,Exact category: Q5419218,,,,
exact sequence,,Exact sequence: Q1326955,,,,
exactness,,Exactness: Q16782158,,,,
exponentiable space,,,,,https://ncatlab.org/nlab/show/exponential+law+for+spaces,
exponential principle,,,??,,,
extension,,Extension (mathematics): Q295785,,,,
exterior derivative,,Exterior derivative: Q1754547,,,,
extriangulated category,,,??,,,
factorization system,,Factorization system: Q5428747,,,,
fibrant object,,Fibrant object: Q5446408,,,,
finitary variety,,,??,,,
finite category,,,remove?,,,
finite product,,,remove?,,,
finite relation,,,remove?,,,
finitely generated,,Finitely generated: Q5450415,,,,
finiteness,,Finiteness: Q11516722,,,,
first-order logic,,First-order logic: Q4055684,,,,
flatness,,Flatness (mathematics): Q8563679,,,,
flow,,Flow (mathematics): Q1434290,Flow (graph theory): Q1412924,,,
formal ball,,Formal ball: Q18207202,,,,
framed bicategory,,,,,https://ncatlab.org/nlab/show/framed+bicategory,
free,,Free: Q231766,,,,
free construction,,,free functor instead?,,https://ncatlab.org/nlab/show/free+functor,
free double category,,,remover,,,
free monoidal category,,,remove?,,,
freeness,,,remove?,,,
full subcategory,,Full subcategory: Q541563,,,,
functor,,Functor (category theory): Q864475,,,,
functorial,,Functorial: Q864475,,,,
generalized variety,,,remove?,,,
geometric,,Geometric: Q8087,,,,
geometric logic,,,??,,,
geometric morphism,,Geometric morphism: Q2143621,,,,
geometrical category,,,,,https://ncatlab.org/nlab/show/geometric+category,
gerbe,,Gerbe: Q118705,,,,
globular nerve,,,??,,,
gradation,,Gradation: Q416270,,,,
graded monoidal category,,,??,,,
graph,,Graph (mathematics): Q363874,Graph (topology): Q30689475,Graph (graph theory): Q141488,,
graph rewriting,,Graph rewriting: Q1508564,,,,
group,,Group (mathematics): Q83478,,,,
group action,,Group action (mathematics): Q288465,,,,
group algebra,,Group algebra: Q17019511,,,,
grouped topos,,,??,,,
groupoid,,Groupoid (category theory): Q1196038,,,,
groupoidification,,,,,https://ncatlab.org/nlab/show/groupoidification,
higher span,,,??,,,
holomorphic gerbe,,,??,,,
holonomy,,Holonomy: Q907926,,,,
hom-enriched context,,,remove?,,,
homological algebra,,Homological algebra: Q579978,,,,
homological descent,,,,,https://ncatlab.org/nlab/show/cohomological+descent,
homomorphism,,Homomorphism (graph theory): Q3385162,,,,
homotopic,,Homotopic: Q746083,,,,
homotopy,,Homotopy: Q746083,,,,
homotopy category,,Homotopy category: Q14775269,,,,
homotopy limit,,Homotopy limit: Q17030678,,,,
homotopy theory,,Homotopy theory: Q746083,,,,
hypercrossed complex,,Ideal (mathematics): Q224884,,,,
hypergraph functor,,,??,,,
ideal,,Ideal (order theory): Q1656686,Ideal (ring theory): Q44649,Ideal (set theory): Q5987925,,
idempotent,,Idempotent (ring theory): Q2243424,,,,
identity functor,,Identity functor: Q864475,,,,
indecomposable,,Indecomposable: Q6015773,,,,
indecomposable representation,,Indecomposable representation: Q2499534,,,,
initial object,,Initial object: Q529752,,,,
integral,,Integral (mathematics): Q80091,Integral (calculus): Q80091,Integral (ring theory): Q1493740,,
integration,,Integration (mathematics): Q80091,Integration (calculus): Q80091,,,
intercategory,,,,,https://ncatlab.org/nlab/show/intercategory,
interconnection,,Interconnection: Q1665949,,,,
intermediate limit,,,??,,,
internal,,Internal: Q6047630,,,,
internal category,,Internal category: Q6047782,,,,
internal co-category,,,??,,,
internal presheaf,,,internal sheaf instead,,https://ncatlab.org/nlab/show/internal+sheaf,
internalization,,Internalization: Q1339807,,,,
interpolad,,,??,,,
intuitionistic set theory,,Intuitionistic set theory: Q5164501,,,,
invariant,,Invariant (mathematics): Q188211,,,,
invertible counit,,,??,,,
involutive functor,,,involution instead?,,https://ncatlab.org/nlab/show/involution,
irreducible,,Irreducible (mathematics): Q1827342,Irreducible (topology): Q8778429,Irreducible (representation theory): Q13220368,,
irreducible representation,,Irreducible representation: Q13690522,,,,
isomorphic,,Isomorphic (mathematics): Q189112,,,,
isomorphism,,Isomorphism: Q189112,,,,
isotopy,,Isotopy: Q411904,,,,
iterative algebra,,,??,,,
join operation,,,maybe join of maps?,,https://ncatlab.org/nlab/show/join+of+maps,
joint probability distribution,,Joint probability distribution: Q1333358,,,,
lattice,,Lattice (mathematics): Q2754968,Lattice (group theory): Q6497088,Lattice (order theory): Q595364,,
lax epimorphism,,,??,,,
lax functor,,Lax functor: Q18345526,,,,
lax higher dimensional structure,,,??,,,
left coextensive,,,??,,,
left proper,,,??,,,
limit,,Limit (mathematics): Q177239,Limit (calculus): Q177239,Limit (category theory): Q1322614,Limit (topology): Q177239,
linear bicategory,,,,,https://ncatlab.org/nlab/show/linear+bicategory,
linear functor,,,,,https://ncatlab.org/nlab/show/linear+functor,
linearly distributive category,,,,,https://ncatlab.org/nlab/show/linearly+distributive+category,
local equivalence,,,,,https://ncatlab.org/nlab/show/local+equivalence,
local homeomorphism,,Local homeomorphism: Q1052761,,,,
local presentability,,,??,,,
local symmetry,,Local symmetry: Q6664549,,,,
locale,,Locale (mathematics): Q5156470,,,,
localization,,Localization (mathematics): Q251307,,,,
locally cartesian closed category,,Locally cartesian closed category: Q1725874,,,,
locally finitely multipresentable category,,,maybe locally presentable cat?,,https://ncatlab.org/nlab/show/locally+presentable+category,
locally partially ordered basis,,,??,,,
locally presentable,,,??,,,
locally presentable category,,Locally presentable category: Q4672496,,,,
logistic equation,,Logistic equation: Q16867851,,,,
loop functor,,Loop functor: Q2066070,,,,
looping process,,,maybe looping?,,https://ncatlab.org/nlab/show/looping,
machine,,Machine: Q11019,,,,
machine behavior,,,??,,,
magnetic monopole,,Magnetic monopole: Q219708,,,,
majority category,,,remove,,,
map,,Map (mathematics): Q370502,Map (topology): Q573980,,,
marked category,,,remove,,,
maximal rigid subcategory,,,remove,,,
measure,,Measure (mathematics): Q192276,Measure (probability): Q355020,,,
metric space,,Metric space: Q180953,,,,
model,,Model: Q234018,,,,
model category,,Model category: Q1941896,,,,
model structure,,Model structure: Q1941896,,,,
modification,,Modification: Q6889353,,,,
modulation,,Modulation: Q170474,,,,
module,,Module (mathematics): Q18848,Module (ring theory): Q18848,,,
monad,,Monad (mathematics): Q229941,Monad (linear algebra): Q6897846,Monad (category theory): Q1630568,,
monadic arrow,,,??,,,
monoidal bicategory,,,,,https://ncatlab.org/nlab/show/monoidal+bicategory,
monoidal category,,Monoidal category: Q1945014,,,,
monoidal differential category,,,??,,,
monoidal model category,,,??,,,
monoidal object,,,,,,
monomorphism,,Monomorphism: Q1945067,,,,
morphism,,Morphism (category theory): Q1948412,,,,
morphism axiom,,,??,,,
multilinear functor calculus,,,remove,,,
multiplication,,Multiplication (mathematics): Q40276,,,,
multiplicative graph,,,remove,,,
multivariable adjunction,,,maybe 2-variable adjunction?,,https://ncatlab.org/nlab/show/two-variable+adjunction,
mutation pair,,,??,,,
n-angulated category,,,,,https://ncatlab.org/nlab/show/n-angulated+category,
n-category,,N-category: Q5758318,,,,
naturally Maltsev variety,,,??,,,
necessary condition,,Necessary condition: Q875267,,,,
nerve,,Nerve (category theory): Q17099363,,,,
nerve construction,,,??,,,
network,,Network (mathematics): Q1412924,,,,
network model,,Network model: Q1416406,,,,
nilpotent,,Nilpotent: Q840023,,,,
non-abelian surface,,,remove?,,,
non-associative,,Non-associative: Q177251,,,,
nucleus,,Nucleus (order theory): Q3879236,,,,
object,,Object (mathematics): Q246672,,,,
octonionic projective space,,Object (category theory): Q719395,Operad (category theory): Q842072,,,
open dynamical system,,,maybe dynamical system?,,https://ncatlab.org/nlab/show/dynamical+system,
operad,,,,,https://ncatlab.org/nlab/show/Operad,
operation,,Operation (mathematics): Q3884033,,,,
opetope,,Opetope: Q48970630,,,,
opmonoidal monad,,,??,,,
orbifold,,Orbifold: Q40460,,,,
order structure,,Order structure: Q24175351,,,,
orthomodular lattice,,Orthomodular lattice: Q5156434,,,,
parallel transport,,Parallel transport: Q1814838,,,,
parity complex,,,,,https://ncatlab.org/nlab/show/parity+complex,
partial map category,,,partial function?,,https://ncatlab.org/nlab/show/partial+function,
partial topos,,,??,,,
past,,Past: Q192630,,,,
past-similar,,,remove?,,,
pasting scheme,,,,,https://ncatlab.org/nlab/show/pasting+scheme,
pca,,Pca: Q229117,,,,
persistence,,Persistence: Q185499,,,,
petit topos,,,??,,,
planar polycategory,,,maybe policategory instead?,,https://ncatlab.org/nlab/show/polycategory,
pointed,,,,,https://ncatlab.org/nlab/show/pointed,
pointed endofunctor,,,??,,,
poly,,Poly: Q910435,,,,
polynomial,,Polynomial: Q43260,,,,
polynomial monad,,,,,https://ncatlab.org/nlab/show/polynomial+monad,
pre-Hilbert category,,,??,,,
prederivator,,,maybe derivator?,,,
preorder,,Preorder (mathematics): Q1425985,,,,
presentation,,Presentation (group theory): Q915906,,,,
presentation theory,,,??,,,
presheaf,,Presheaf (mathematics): Q595298,Presheaf (category theory): Q7241077,,,
presheaf category,,Presheaf category: Q7241077,,,,
pretopology,,Pretopology: Q7242162,,,,
pretopos completion,,,,,https://ncatlab.org/nlab/show/pretopos+completion,
probability theory,,Probability theory: Q5862903,,,,
product measure,,Product measure: Q1572094,,,,
projective object,,Projective object: Q2112502,,,,
promonoidal category,,,,,https://ncatlab.org/nlab/show/promonoidal+category,
promonoidal functor,,,??,,,
prop,,Prop: Q1194437,,,,
proper class,,Proper class: Q217594,,,,
proper smooth stack,,,??,,,
property,,Property (mathematics): Q3924032,,,,
property-like,,,remove?,,,
protomodular category,,,,,https://ncatlab.org/nlab/show/protomodular+category,
protomodularity,,,??,,,
pseudo-triangulated category,,,??,,,
pseudoepimorphism,,,??,,,
pseudomonad,,Pseudomonad: Q19927749,,,,
pseudomonoid,,,,,https://ncatlab.org/nlab/show/pseudomonoid,
pseudonatural transformation,,,,,https://ncatlab.org/nlab/show/pseudonatural+transformation,
purity,,Purity (algebraic geometry): Q7261288,,,,
push-forward,,Push-forward: Q7261785,,,,
quadratic algorithm,,,remove?,,,
quadratic module,,Quadratic module: Q7268365,,,,
quantale,,Quantale: Q7268888,,,,
quantale completion,,,??,,,
quantic conuclei,,,maybe quantic nucleus?,,https://ncatlab.org/nlab/show/quantic+nucleus,
quantum category,,,??,,,
quasi-Hopf algebra,,Quasi-Hopf algebra: Q2835962,,,,
quasicategory,,Quasicategory: Q7269442,,,,
quasigroup,,Quasigroup: Q1503423,,,,
quasitopos,,Quasitopos: Q30590669,,,,
quotient,,Quotient (algebraic geometry): Q48975267,Quotient (topology): Q1211071,Quotient (group theory): Q1138961,,
quotient geometric theory,,,maybe geometric theory,,https://ncatlab.org/nlab/show/geometric+theory,
ramification groupoid,,,??,,,
realizability topos,,,,,https://ncatlab.org/nlab/show/realizability+topos,
recursive definition,,Recursive definition: Q2466486,,,,
reflective subcategory,,Reflective subcategory: Q6101219,,,,
reflector,,Reflector (mathematics): Q426221,,,,
reflexive coequalizer,,,??,,,
regular,,Regular: Q408620,,,,
regular cardinal,,Regular cardinal: Q1193137,,,,
relation,,Relation (mathematics): Q130901,Relation (group theory): Q915906,,,
relative algebraic geometry,,,??,,,
relative computability,,Relative computability: Q4489310,,,,
representable,,,maybe representable functor?,,https://ncatlab.org/nlab/show/representable+functor,
representation,,Representation (mathematics): Q2905654,Representation (group theory): Q1055807,Representation theory (group theory): Q1055807,,
representation theory,,,??,,,
repulsive fixpoint,,,maybe fixed point,,https://ncatlab.org/nlab/show/fixed+point,
restriction category,,,,,https://ncatlab.org/nlab/show/restriction+category,
retract,,Retract (category theory): Q17103180,Retract (group theory): Q7316893,,,
right properness,,,??,,,
ring,,Ring (mathematics): Q161172,,,,
ring theory,,Ring theory: Q1208658,,,,
second homology,,,??,,,
segal dg-category,,,maybe dg-category,,https://ncatlab.org/nlab/show/dg-category,
semi-abelian monadic category,,,??,,,
semi-abelian variety,,Semi-abelian variety: Q318751,,,,
semi-simplicial,,,maybe semi-simplicial object?,,https://ncatlab.org/nlab/show/semi-simplicial+object,
set,,Set (mathematics): Q36161,Set (category theory): Q2518298,,,
set theory,,Set theory (mathematics): Q12482,,,,
shape theory,,Shape theory (mathematics): Q7489245,,,,
sheaf,,Sheaf (mathematics): Q595298,,,,
sheaf theory,,Sheaf theory: Q595298,,,,
simplicial,,Simplicial: Q331350,,,,
simplicial approximation,,,??,,,
simplicial enrichment,,,??,,,
simplicial object,,Simplicial object: Q1467124,,,,
simplicial set,,Simplicial set: Q1467124,,,,
site,,Site (mathematics): Q1062242,,,,
site criterion,,,remove?,,,
sketch,,Sketch (mathematics): Q7534724,Sketch (category theory): Q7534724,,,
skew monoidal category,,,??,,,
skew monoidale,,,??,,,
small category,,Small category: Q719395,,,,
smooth function,,Smooth function: Q868473,,,,
smooth gerbe,,,maybe gerbe?,,https://ncatlab.org/nlab/show/gerbe,
smooth object,,,maybe formally smooth object?,,https://ncatlab.org/nlab/show/formally+smooth+object,
smooth space,,,??,,,
sober,,Sober: Q246475,,,,
soundness,,Soundness: Q693083,,,,
source,,Source (graph theory): Q1137726,,,,
space,,Space (mathematics): Q472971,,,,
span construction,,,maybe span?,,https://ncatlab.org/nlab/show/span,
spectrum,,Spectrum (mathematics): Q6640640,Spectrum (topology): Q7575269,Spectrum (ring theory): Q1154351,,
split cube,,,??,,,
stack,,Stack (mathematics): Q7595945,Stack (algebraic geometry): Q7595945,Stack (category theory): Q7595945,,
star-autonomous comonad,,,??,,,
state,,State: Q15622206,,,,
state space,,State space: Q230930,,,,
static module,,,remove?,,,
static program analysis,,Static program analysis: Q1329550,,,,
stochastic automata,,,??,,,
strange attractor,,Strange attractor: Q507187,,,,
strict triple category,,,maybe triple category?,,https://ncatlab.org/nlab/show/triple+category,
string,,String (mathematics): Q226673,,,,
strong colimit,,,??,,,
strong promonoidal functor,,,??,,,
strongly protomodular category,,,??,,,
subcanonical one-way site,,,??,,,
subcanonical site,,,maybe subcanonical coverage?,,https://ncatlab.org/nlab/show/subcanonical+coverage,
subcategory,,Subcategory: Q541563,,,,
subdivision,,Subdivision (graph theory): Q584521,,,,
subfunctor,,Subfunctor: Q7631142,,,,
subtopos,,,,,https://ncatlab.org/nlab/show/subtopos,
sufficient condition,,Sufficient condition: Q875267,,,,
sup,,Sup: Q348502,,,,
super Fermat theory,,,maybe Fermat theory,,https://ncatlab.org/nlab/show/Fermat+theory,
supermanifold,,Supermanifold: Q3978062,,,,
superspace,,Superspace: Q6501705,,,,
suspension functor,,Suspension functor: Q1307987,,,,
sylleptic monoidal bicategory,,,??,,,
symbolic structure,,,remove,,,
symmetric monoidal,,,remove,,,
symmetric monoidal bicategory,,,maybe ,,https://ncatlab.org/nlab/show/coherence+theorem+for+symmetric+monoidal+bicategories,
syntactical characterization,,,remove,,,
synthetic theory,,,??,,,
tame polynomial,,,??,,,
tangent category,,,,,https://ncatlab.org/nlab/show/tangent+category,
target,,Target: Q230479,,,,
tensor category,,Tensor category: Q1945014,,,,
tensor product,,Tensor product: Q1163016,,,,
